name,type,address,postcode,telephone,website,area_name,area_code,lon,lat
Smile Dental Care Salford,Dentist,"390 Manchester Road East, Little Hulton, Salford",M38 9WH,01617903377,http://www.smile-dentalcare.co.uk,Salford,E08000006,-2.418753,53.529467
J. Sainsbury - Leigh,Dentist,"Atherleigh Way, Leigh",WN7 5SJ,01612070002,http://www.centrefordentistry.com,Wigan,E08000010,-2.527795,53.499416
Little Lever Dental Practice,Dentist,"100 High Street, Little Lever, Bolton",BL3 1LR,01204574908,,Bolton,E08000001,-2.368853,53.561055
Smy Life,Dentist,"Pall Mall, Manchester",M2 4DL,01618307300,,Manchester,E08000003,-2.243418,53.480445
Unidental,Dentist,"10 Vernon Street, Stockport",SK1 1TY,01614808040,,Stockport,E08000007,-2.156764,53.41233
ABL Health Limited,General Practice,"71 Redgate Way, Farnworth, Bolton",BL4 0JL,01204570999,http://www.ablhealth.co.uk,Bolton,E08000001,-2.429374,53.550328
Penny Meadow Dental Practice,Dentist,"53 Penny Meadow, Ashton Under Lyne",OL6 6HE,01613302419,http://www.pennymeadowdental.co.uk,Tameside,E08000008,-2.089079,53.489873
Ravat & Ray Dental Care (Bolton One),Dentist,"Bolton One, Moor Lane, Bolton",BL3 5BN,01204527769,http://www.ravatandray.com,Bolton,E08000001,-2.435246,53.573928
Mydentist - Manchester Road - Oldham,Dentist,"580 Manchester Road, Hollinwood, Oldham",OL9 7LS,01616811022,http://www.mydentist.co.uk,Oldham,E08000004,-2.143803,53.520731
Mydentist - Church Street - Westhoughton,Dentist,"60 Church Street, Westhoughton, Bolton",BL5 3RS,01942815769,http://www.mydentist.co.uk,Bolton,E08000001,-2.525015,53.550036
Mydentist - Crab Tree Lane - Manchester,Dentist,"17 Crab Tree Lane, Atherton, Manchester",M46 0AU,01942883103,http://www.mydentist.org.uk,Wigan,E08000010,-2.491323,53.52235
Mydentist - Parsonage Street - Bury,Dentist,"1-5 Parsonage Street, Bury",BL9 6BG,01617643993,http://www.mydentist.co.uk,Bury,E08000002,-2.28154,53.59657
Mydentist - Church Street - Eccles,Dentist,"107 Church Street, Eccles, Manchester",M30 0EJ,01617889815,http://www.mydentist.co.uk,Salford,E08000006,-2.338336,53.482659
